CLIENTE;IDENTIFICACION;DOCUMENTO;PAIS;CANAL;FORMA DE PAGO;PRODUCTO;VENDEDOR;FECHA;VENTAS;CANTIDAD;DESCUENTO_PORCENTAJE;PRECIO_UNITARIO
Supermercados Peruanos;896789012.0;FV 51138;Nicaragua;Redes Sociales;Tarjeta de Credito;Silvato Arbitro;Hernando Portilla;2021-04-17;75000;2;5.0;37500
Tiendas San Francisco;897345600.0;FV 109261;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-89;Hernando Portilla;2010-09-14;11308;2;0.0;5654
Gessa;901324700.0;FV 61244;Nicaragua;Redes Sociales;Cheque;Guantes de Arquero Nike;Lidia Bueno;2022-06-05;17750;6;6.0;2958
Gessa;901324700.0;FV 116233;Peru;Telefono;Tarjeta de Credito;Guayos Nike Cr-108;Bernardo Cifuentes;2013-05-30;34629;3;5.2;11543
Bodega Aurrerá;890457811.0;FV 110626;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-8;Viviana Cano;2011-05-21;103692;11;0.0;9427
Unimarc;900434592.0;FV 110103;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-47;Viviana Cano;2011-02-16;179829;15;10.6;11989
Gessa;901324700.0;FV 47737;Peru;Redes Sociales;Transferencia Electronica;Balon de Microfutbol Golty;Lidia Bueno;2021-01-19;55000;2;8.8;27500
Gessa;901324700.0;FV 64660;Nicaragua;Redes Sociales;Cheque;Guantes de Arquero Nike;Hernando Portilla;2022-11-23;17550;10;9.7;1755
Jumbo;901345871.0;FV 135999;Panama;Telefono;Cheque;Bloqueador solar;Guillermo Benavides;2018-05-02;13123;1;5.2;13123
Carrefour;900348761.0;FV 50129;Nicaragua;Redes Sociales;Transferencia Electronica;Camiseta Deportiva;Viviana Cano;2021-03-21;28800;6;8.3;4800
Super 99;899087237.0;FV 146499;Mexico;Telefono;Tarjeta de Credito;Guayos Nike Cr-70;Guillermo Benavides;2020-06-26;48265;5;0.0;9653
Hipermaxi;899453679.0;FV 120597;Peru;Punto de Venta;Cheque;Guayos Nike Cr-100;Viviana Cano;2014-10-21;63372;12;0.0;5281
Tiendas Olímpica;901765437.0;FV 123457;Peru;Telefono;Transferencia Electronica;Guayos Nike Cr-85;Bernardo Cifuentes;2015-09-17;57480;5;6.7;11496
Supermercados Peruanos;896789012.0;FV 103752;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-31;Viviana Cano;2007-12-07;23759;2;0.0;11880
Tiendas Olímpica;901765437.0;FV 69044;Honduras;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Viviana Cano;2023-05-15;36450;10;0.0;3645
Jumbo;901345871.0;FV 141317;Nicaragua;Punto de Venta;Tarjeta de Credito;Sudadera Puma;Viviana Cano;2019-06-08;34757;3;0.0;11586
Carrefour;900348761.0;FV 55115;Peru;APP;Transferencia Electronica;Kit de cocina TrailChef;Patricia Angarita;2021-11-01;42650;6;0.0;7108
Hipermaxi;899453679.0;FV 59628;Ecuador;Redes Sociales;Tarjeta de Credito;Guantes de Arquero Nike;Lidia Bueno;2022-04-09;55000;10;0.0;5500
Grupo Éxito;809765231.0;FV 106681;Ecuador;Punto de Venta;Transferencia Electronica;Mochila Canyon Mule Journey;Viviana Cano;2009-06-01;31324;10;0.0;3132
Bodega Aurrerá;890457811.0;FV 103288;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-75;Viviana Cano;2007-07-19;31885;15;5.5;2126
Walmart;890342123.0;FV 59533;Ecuador;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Lidia Bueno;2022-04-05;49700;10;9.8;4970
Hipermaxi;899453679.0;FV 134405;Ecuador;Telefono;Tarjeta de Credito;Guayos Nike Cr-93;Hernando Portilla;2018-01-04;9695;4;0.0;2424
Carrefour;900348761.0;FV 49290;Colombia;Redes Sociales;Cheque;Mountain Man Extreme;Viviana Cano;2021-02-28;12100;10;0.0;1210
Makro;902765200.0;FV 110510;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-9;Viviana Cano;2011-04-30;87020;13;0.0;6694
Ara;901001382.0;FV 51338;Colombia;Redes Sociales;Cheque;Guantes de Arquero Nike;Lidia Bueno;2021-04-23;16000;6;9.4;2667
Super Selectos;901457120.0;FV 104123;Ecuador;Punto de Venta;Transferencia Electronica;Kit de cocina TrailChef;Hernando Portilla;2008-02-20;13184;1;6.5;13184
Unimarc;900434592.0;FV 142790;Colombia;Telefono;Efectivo;Guayos Nike Cr-100;Hernando Portilla;2019-09-26;66205;5;0.0;13241
Automercados Plaza's;;FV 140264;Guatemala;Telefono;Cheque;Guayos Nike Cr-24;Guillermo Benavides;2019-03-23;20383;5;0.0;4077
Tiendas Olímpica;901765437.0;FV 44876;Ecuador;Redes Sociales;Tarjeta de Credito;Termo de Bicicleta;Patricia Angarita;2024-09-25;63900;13;0.0;4915
Cencosud;901776453.0;FV 54439;Panama;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Viviana Cano;2021-10-09;32200;10;0.0;3220
Super Selectos;901457120.0;FV 127452;Mexico;Punto de Venta;Cheque;Loción BugShield;Viviana Cano;2016-08-21;40128;8;0.0;5016
Gessa;901324700.0;FV 122415;Colombia;Telefono;Efectivo;Guayos Nike Cr-122;Hernando Portilla;2015-05-21;6385;1;0.0;6385
Hipermaxi;;FV 60418;Mexico;Redes Sociales;Transferencia Electronica;Sudadera Puma;Lidia Bueno;2022-05-07;55000;2;7.1;27500
Walmart;890342123.0;FV 41882;Ecuador;Punto de Venta;Cheque;Husky Cuerda 200;Armando Casas;2024-06-03;393300;4;0.0;98325
Unimarc;900434592.0;FV 139762;Colombia;Punto de Venta;Efectivo;Casco de escalada de granito;Lidia Bueno;2019-02-12;89220;8;0.0;11152
Tiendas San Francisco;897345600.0;FV 111169;Ecuador;Punto de Venta;Efectivo;Batería recargable Firefly;Hernando Portilla;2011-08-29;43235;12;6.1;3603
Hipermaxi;;FV 54103;Peru;Redes Sociales;Transferencia Electronica;Juego TrailChef Deluxe Cook;Lidia Bueno;2021-06-27;55000;6;6.8;9167
Ara;901001382.0;FV 133432;Panama;Telefono;Transferencia Electronica;Kit de alivio compacto;Bernardo Cifuentes;2017-10-27;50489;7;15.4;7213
Hipermaxi;899453679.0;FV 71591;Peru;Redes Sociales;Transferencia Electronica;Camiseta Deportiva;Viviana Cano;2023-10-06;122014;1;7.3;122014
Tiendas San Francisco;897345600.0;FV 135160;Mexico;Telefono;Transferencia Electronica;Guayos Nike Cr-43;Viviana Cano;2018-03-04;217095;15;0.0;14473
Hipermaxi;899453679.0;FV 126032;Panama;Telefono;Cheque;Guayos Nike Cr-54;Bernardo Cifuentes;2016-05-03;36803;4;0.0;9201
Jumbo;901345871.0;FV 113444; Ecuador;Telefono;Cheque;Loción BugShield;Hernando Portilla;2012-07-01;44580;7;9.6;6369
Unimarc;900434592.0;FV 125194;Honduras;Telefono;Transferencia Electronica;Guayos Nike Cr-52;Bernardo Cifuentes;2016-03-05;57870;8;0.0;7234
Tiendas San Francisco;897345600.0;FV 120628;Peru;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-48;Viviana Cano;2014-10-24;114175;14;0.0;8155
Soriana;901345679.0;FV 43957;Peru;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Patricia Angarita;2024-07-09;75000;6;6.7;12500
Cencosud;901776453.0;FV 48780;Peru;Teléfono;Transferencia Electronica;Palo Course Pro;Lidia Bueno;2021-02-15;28400;2;7.9;14200
Grupo Éxito;809765231.0;FV 115690;Ecuador;Telefono;Transferencia Electronica;Mountain Man Extreme;Hernando Portilla;2013-03-26;100776;12;0.0;8398
Automercados Plaza's;891009100.0;FV 110311;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-116;Viviana Cano;2011-03-23;174236;14;0.0;12445
Grupo Éxito;809765231.0;FV 104203;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-32;Viviana Cano;2008-03-04;?;8;7.3;4911
;901345679.0;FV 108024;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-84;Viviana Cano;2010-01-30;5113;1;18.2;5113
Automercados Plaza's;891009100.0;FV 132413;Honduras;Telefono;Cheque;Guayos Nike Cr-67;Bernardo Cifuentes;2017-08-14;54411;9;0.0;6046
Tiendas Olímpica;901765437.0;FV 57201;Guatemala;Redes Sociales;Transferencia Electronica;Arnés Extremo Husky;Bernardo Cifuentes;2022-01-16;52950;8;0.0;6619
Hipermaxi;899453679.0;FV 57405;Colombia;Redes Sociales;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Guillermo Benavides;2022-01-23;75000;2;0.0;37500
Walmart;890342123.0;FV 107588;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-86;Hernando Portilla;2009-11-15;37795;3;0.0;12598
Supermercados Peruanos;896789012.0;FV 108825;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-8;Hernando Portilla;2010-06-27;140666;12;0.0;11722
Unimarc;900434592.0;FV 108502;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-35;Hernando Portilla;2010-05-02;18765;2;0.0;9382
Hipermaxi;899453679.0;FV 48238;Peru;Redes Sociales;Tarjeta de Credito;Guantes de Arquero Nike;Viviana Cano;2021-02-02;55000;6;8.5;9167
Bodega Aurrerá;890457811.0;FV 54327;Peru;Redes Sociales;Transferencia Electronica;Guantes de Arquero Nike;Lidia Bueno;2021-10-05;22300;10;0.0;2230
Cencosud;901776453.0;FV 101561;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-122;Viviana Cano;2006-03-17;1689805.3808134084;15;7.4;4820
Super 99;899087237.0;FV 128241;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-23;Bernardo Cifuentes;2016-10-18;22660;3;6.9;7553
Jumbo;901345871.0;FV 146003;Panama;Telefono;Cheque;Guayos Nike Cr-70;Guillermo Benavides;2020-05-21;200573;14;0.0;14327
Grupo Éxito;809765231.0;FV 142297;Honduras;Telefono;Transferencia Electronica;Guayos Nike Cr-50;Hernando Portilla;2019-08-19;47817;5;10.7;9563
Walmart;890342123.0;FV 50147;Panama;APP;Efectivo;Termo de Bicicleta;Guillermo Benavides;2021-03-22;76800;6;17.4;12800
Soriana;901345679.0;FV 61410;Ecuador;Redes Sociales;Transferencia Electronica;Balon de Futbol Adidas;Viviana Cano;2022-06-10;35300;10;0.0;3530
Supermercados Peruanos;896789012.0;FV 115815;Ecuador;Telefono;Tarjeta de Credito;Guayos Nike Cr-69;Bernardo Cifuentes;2013-04-11;68467;9;0.0;7607
La Anónima;897564399.0;FV 116274;Peru;Telefono;Cheque;Guayos Nike Cr-111;Bernardo Cifuentes;2013-06-02;54799;4;0.0;13700
Automercados Plaza's;891009100.0;FV 136104;Nicaragua;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-57;Lidia Bueno;2018-05-12;42645;13;0.0;3280
Bodega Aurrerá;890457811.0;FV 108368;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-81;Hernando Portilla;2010-04-08;Sin dato;5;12.4;8234
Hipermaxi;899453679.0;FV 70432;Colombia;APP;Tarjeta de Credito;Juego TrailChef Deluxe Cook;Patricia Angarita;2023-06-21;60450;10;16.0;6045
Grupo Éxito;809765231.0;FV 103122;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-65;Viviana Cano;2007-06-03;166356;15;5.7;11090
Jumbo;901345871.0;FV 103240;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-17;Viviana Cano;2007-07-07;69354;9;0.0;7706
Tiendas San Francisco;;FV 130106;Ecuador;Telefono;Efectivo;Guayos Nike Cr-21;Bernardo Cifuentes;2017-03-04;89517;11;0.0;8138
Supermercados Peruanos;896789012.0;FV 42483;Guatemala;Redes Sociales;Efectivo;Gorra Deportiva;Guillermo Benavides;2024-06-04;76800;2;0.0;38400
Bodega Aurrerá;890457811.0;FV 144312;Panama;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-34;Hernando Portilla;2020-01-16;11591;3;0.0;3864
Hipermaxi;899453679.0;FV 60736;Colombia;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Viviana Cano;2022-05-18;44150;13;18.4;3396
Tiendas Olímpica;901765437.0;FV 71000;Honduras;Redes Sociales;Cheque;Guantes de Arquero Nike;Viviana Cano;2023-07-31;18550;6;0.0;3092
Cencosud;901776453.0;FV 105630;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-104;Viviana Cano;2008-11-26;82614;9;0.0;9179
Soriana;901345679.0;FV 127398;Guatemala;Telefono;Tarjeta de Credito;TrailChef Double Flame;Guillermo Benavides;2016-08-17;48449;8;0.0;6056
Hipermaxi;899453679.0;FV 133628;Colombia;Telefono;Tarjeta de Credito;Guayos Nike Cr-26;Bernardo Cifuentes;2017-11-11;111632;12;0.0;9303
Gessa;901324700.0;FV 143489;Nicaragua;Punto de Venta;Efectivo;Camiseta Deportiva;Hernando Portilla;2019-11-19;129481;12;0.0;10790
Bodega Aurrerá;890457811.0;FV 59146;Panama;Redes Sociales;Transferencia Electronica;Balon de Microfutbol Golty;Hernando Portilla;2022-03-23;55000;2;11.5;27500
Soriana;901345679.0;FV 51114;Mexico;Redes Sociales;Transferencia Electronica;Guayos Nike Cr-7;Lidia Bueno;2021-04-16;37150;10;0.0;3715
Automercados Plaza's;891009100.0;FV 107175;ECUADOR;Punto de Venta;Transferencia Electronica;Termo de Bicicleta;Hernando Portilla;2009-08-29;35611;13;0.0;2739
Soriana;901345679.0;FV 110725;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-114;Viviana Cano;2011-06-08;13833;6;0.0;2306
Automercados Plaza's;891009100.0;FV 141544;NICARAGUA;Punto de Venta;Efectivo;Guayos Nike Cr-77;Guillermo Benavides;2019-06-24;31977;11;0.0;2907
Bodega Aurrerá;890457811.0;FV 54163;Peru;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Viviana Cano;2021-06-28;28450;10;7.9;2845
Tiendas San Francisco;897345600.0;FV 115949;Peru;Telefono;Tarjeta de Credito;Guayos Nike Cr-118;Bernardo Cifuentes;2013-04-27;9224;1;0.0;9224
Automercados Plaza's;891009100.0;FV 40580;Ecuador;Punto de Venta;Efectivo;Husky Cuerda 200;Patricia Angarita;2024-01-06;221050;10;0.0;22105
Walmart;890342123.0;FV 107731;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-95;Viviana Cano;2009-12-11;81390;7;5.3;11627
Gessa;901324700.0;FV 51781;Nicaragua;APP;Efectivo;Termo de Bicicleta;Patricia Angarita;2021-05-03;76800;2;8.1;38400
Soriana;901345679.0;FV 62990; Nicaragua;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Hernando Portilla;2022-08-21;34850;10;0.0;3485
Tiendas Olímpica;901765437.0;FV 55801;Panama;APP;Transferencia Electronica;Termo de Bicicleta;Hernando Portilla;2021-11-25;55000;6;0.0;9167
Walmart;890342123.0;FV 52520;Ecuador;Redes Sociales;Tarjeta de Credito;Loción BugShield;Bernardo Cifuentes;2021-05-20;55000;8;0.0;6875
Gessa;901324700.0;FV 58883;Ecuador;Teléfono;Cheque;Mountain Man Extreme;Guillermo Benavides;2022-03-14;15250;10;9.0;1525
Automercados Plaza's;891009100.0;FV 139049;Guatemala;Telefono;Cheque;Guayos Nike Cr-20;Lidia Bueno;2018-12-23;24272;8;0.0;3034
Hipermaxi;899453679.0;FV 116536;Ecuador;Telefono;Transferencia Electronica;Canyon Mule Carryall;Hernando Portilla;2013-07-01;8144;1;5.8;8144
Walmart;890342123.0;FV 125115;Mexico;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-17;Lidia Bueno;2016-02-29;124209;15;0.0;8281
Tiendas Olímpica;901765437.0;FV 61575;Mexico;Teléfono;Cheque;Lámpara EverGlow;Lidia Bueno;2022-06-17;10850;13;0.0;835
Super 99;899087237.0;FV 132194;Ecuador;Telefono;Tarjeta de Credito;Guayos Nike Cr-50;Hernando Portilla;2017-07-30;34947;3;0.0;11649
Grupo Éxito;809765231.0;FV 106681;Ecuador;Punto de Venta;Transferencia Electronica;Mochila Canyon Mule Journey;Viviana Cano;2009-06-01;31324;10;0.0;3132
Automercados Plaza's;891009100.0;FV 138381;Nicaragua;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-49;Hernando Portilla;2018-11-01;123047;14;0.0;8789
Jumbo;901345871.0;FV 148263;Peru;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-122;Guillermo Benavides;2020-10-29;50940;14;0.0;3639
La Anónima;897564399.0;FV 103669;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-73;Viviana Cano;2007-11-09;148909;13;0.0;11455
La Anónima;897564399.0;FV 46238;Peru;Punto de Venta;Efectivo;Mochila Canyon Mula Weekender;Patricia Angarita;2024-11-01;140900;13;7.0;10838
Super Selectos;901457120.0;FV 121985;Colombia;Telefono;Transferencia Electronica;Guayos Nike Cr-98;Bernardo Cifuentes;2015-03-31;173188;14;7.7;12371
Automercados Plaza's;891009100.0;FV 100104;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-82;Viviana Cano;2005-01-30;21844;2;0.0;10922
Cencosud;901776453.0;FV 68012;Honduras;Redes Sociales;Transferencia Electronica;Juego TrailChef Deluxe Cook;Hernando Portilla;2023-04-19;55000;6;0.0;9167
Soriana;901345679.0;FV 104264;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-24;Hernando Portilla;2008-03-15;155875;15;0.0;10392
Carrefour;900348761.0;FV 146522;Peru;Telefono;Transferencia Electronica;Palo Course Pro;Guillermo Benavides;2020-06-28;27268;6;0.0;4545
La Anónima;897564399.0;FV 100702;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-36;Viviana Cano;2005-07-18;20404;2;0.0;10202
Hipermaxi;899453679.0;FV 66543;Panama;Teléfono;Transferencia Electronica;Mountain Man Extreme;Hernando Portilla;2023-02-25;26100;6;0.0;4350
Super Selectos;901457120.0;FV 130853;Panama;Punto de Venta;Tarjeta de Credito;Set de Madera Lady Hailstorm Titanium;Guillermo Benavides;2017-04-25;93401;9;0.0;10378
Hipermaxi;899453679.0;FV 52271;Colombia;Redes Sociales;Efectivo;Gorra Deportiva;Patricia Angarita;2021-05-14;76800;2;7.3;38400
La Anónima;897564399.0;FV 100039;Ecuador;Punto de Venta;Efectivo;Guantes de Arquero Nike;Viviana Cano;2005-01-11;112240;10;0.0;11224
Automercados Plaza's;891009100.0;FV 72347;Peru;Redes Sociales;Transferencia Electronica;Camiseta Deportiva;Viviana Cano;2023-11-23;54000;3;0.0;18000
Hipermaxi;899453679.0;FV 67131;Peru;Redes Sociales;Transferencia Electronica;Loción BugShield;Viviana Cano;2023-03-22;43000;10;9.6;4300
La Anónima;897564399.0;FV 62577;Colombia;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Lidia Bueno;2022-08-01;40200;16;9.8;2512
Automercados Plaza's;891009100.0;FV 141444;Nicaragua;Punto de Venta;Tarjeta de Credito;Mountain Man Extreme;Hernando Portilla;2019-06-18;146273;13;13.8;11252
Walmart;890342123.0;FV 45526;Honduras;Redes Sociales;Tarjeta de Credito;Loción BugShield;Viviana Cano;2024-10-10;55000;1;0.0;55000
Tiendas Olímpica;901765437.0;FV 50259;Ecuador;Redes Sociales;Cheque;Casco de escalada de granito;Viviana Cano;2021-03-25;20100;8;0.0;2512
Tiendas San Francisco;897345600.0;FV 145848;Panama;Telefono;Transferencia Electronica;Guantes de Arquero Nike;Lidia Bueno;2020-05-12;Pendiente;13;8.8;9077
La Anónima;897564399.0;FV 112628;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-115;Hernando Portilla;2012-03-27;165069;13;6.7;12698
Tiendas San Francisco;897345600.0;FV 114033;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-82;Viviana Cano;2012-09-11;123090;9;0.0;13677
Tiendas San Francisco;897345600.0;FV 106324;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-14;Hernando Portilla;2009-03-27;91777;8;0.0;11472
Hipermaxi;899453679.0;FV 126543;Nicaragua;Telefono;Transferencia Electronica;Guayos Nike Cr-106;Hernando Portilla;2016-06-15;50789;6;0.0;8465
;890457811.0;FV 141130;Peru;Telefono;Transferencia Electronica;Guayos Nike Cr-75;Viviana Cano;2019-05-24;172436;15;0.0;11496
Super 99;899087237.0;FV 125049;Colombia;Telefono;Cheque;Guayos Nike Cr-110;Viviana Cano;2016-02-24;25624;3;0.0;8541
Tiendas San Francisco;897345600.0;FV 117084;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-115;Bernardo Cifuentes;2013-09-06;15830;7;0.0;2261
Supermercados Peruanos;896789012.0;FV 56360;Panama;Redes Sociales;Transferencia Electronica;Kit de cocina TrailChef;Lidia Bueno;2021-12-14;49950;10;0.0;4995
Super Selectos;901457120.0;FV 145254;Honduras;Punto de Venta;Efectivo;Juego TrailChef Deluxe Cook;Viviana Cano;2020-03-27;104015;8;0.0;13002
Super Selectos;901457120.0;FV 102622;Ecuador;Punto de Venta;Cheque;Camiseta Deportiva;Viviana Cano;2007-01-13;132681;12;7.6;11057
Ara;901001382.0;FV 135900;Mexico;Punto de Venta;Cheque;Guayos Nike Cr-83;Hernando Portilla;2018-04-25;53612;15;13.3;3574
Gessa;901324700.0;FV 122340;Ecuador;Telefono;Cheque;Guayos Nike Cr-111;Bernardo Cifuentes;2015-05-14;37611;4;0.0;9403
Walmart;890342123.0;FV 50025;Panama;Redes Sociales;Cheque;Mountain Man Extreme;Hernando Portilla;2021-03-19;11300;6;6.8;1883
Soriana;901345679.0;FV 101253;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-99;Viviana Cano;2005-12-22;171640;14;0.0;12260
Tiendas Olímpica;901765437.0;FV 55873;Guatemala;Redes Sociales;Transferencia Electronica;Mountain Man Extreme;Lidia Bueno;2021-11-27;24750;10;0.0;2475
Walmart;890342123.0;FV 62524;Nicaragua;APP;Transferencia Electronica;Palo Course Pro;Lidia Bueno;2022-07-30;44300;6;0.0;7383
Cencosud;901776453.0;FV 50373;Mexico;Redes Sociales;Transferencia Electronica;Balon de Microfutbol Golty;Lidia Bueno;2021-03-27;55000;2;16.3;27500
Gessa;901324700.0;FV 50005;Peru;Redes Sociales;Transferencia Electronica;Guantes de Arquero Nike;Lidia Bueno;2021-03-18;55000;6;0.0;9167
La Anónima;897564399.0;FV 126610;Honduras;Telefono;Cheque;Guayos Nike Cr-110;Hernando Portilla;2016-06-20;40603;5;0.0;8121
Grupo Éxito;809765231.0;FV 121618;Colombia ;Telefono;Tarjeta de Credito;Pantaloneta;Bernardo Cifuentes;2015-02-16;40484;4;0.0;10121
Hipermaxi;899453679.0;FV 62544;Colombia;Redes Sociales;Transferencia Electronica;Loción BugShield;Viviana Cano;2022-07-31;43000;16;7.4;2688
Soriana;901345679.0;FV 127880;Honduras;Punto de Venta;Cheque;Balon de Microfutbol Golty;Guillermo Benavides;2016-09-20;2555;1;6.1;2555
Super Selectos;901457120.0;FV 56394;Peru;Redes Sociales;Cheque;Casco de escalada de granito;Guillermo Benavides;2021-12-16;21150;2;0.0;10575
Cencosud;901776453.0;FV 42487;Ecuador;Redes Sociales;Efectivo;Gorra Deportiva;Patricia Angarita;2024-06-04;76800;2;0.0;38400
Carrefour;900348761.0;FV 64712;Nicaragua;Redes Sociales;Cheque;Lámpara de escalada Firefly;Hernando Portilla;2022-11-26;13050;10;0.0;1305
Super Selectos;901457120.0;FV 100025;Ecuador;Punto de Venta;Cheque;Guayos Nike Cr-107;Viviana Cano;2005-01-08;24678;2;0.0;12339
Bodega Aurrerá;890457811.0;FV 44967;Nicaragua;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Guillermo Benavides;2024-10-10;75000;6;9.2;12500
Carrefour;900348761.0;FV 120315;Colombia;Telefono;Transferencia Electronica;Guayos Nike Cr-103;Hernando Portilla;2014-09-16;70344;6;0.0;11724
La Anónima;897564399.0;FV 47292;Colombia;Redes Sociales;Transferencia Electronica;Guantes de Arquero Nike;Armando Casas;2021-04-07;55000;6;0.0;9167
Hipermaxi;899453679.0;FV 71388;Colombia;Redes Sociales;Cheque;Guantes de Arquero Nike;Hernando Portilla;2023-09-15;21100;6;0.0;3517
Carrefour;900348761.0;FV 53291;Ecuador;Teléfono;Transferencia Electronica;Kit de cocina TrailChef;Viviana Cano;2021-06-07;32300;8;0.0;4038
Bodega Aurrerá;890457811.0;FV 56137;Ecuador;Teléfono;Transferencia Electronica;Kit de alivio compacto;Lidia Bueno;2021-12-06;26850;13;0.0;2065
Gessa;901324700.0;FV 64779;Colombia;Redes Sociales;Cheque;Lámpara EverGlow;Viviana Cano;2022-11-30;13250;13;0.0;1019
Super Selectos;901457120.0;FV 121961;Peru;Telefono;Cheque;Guayos Nike Cr-36;Bernardo Cifuentes;2015-03-28;34677;13;7.9;2667
Automercados Plaza's;891009100.0;FV 58164;Nicaragua;Redes Sociales;Transferencia Electronica;Guantes de Arquero Nike;Lidia Bueno;2022-02-18;55000;6;0.0;9167
Unimarc;900434592.0;FV 115447;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-78;Hernando Portilla;2013-02-24;52419;9;11.6;5824
;901345871.0;FV 146995;Ecuador;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-102;Bernardo Cifuentes;2020-07-29;36575;5;0.0;7315
Automercados Plaza's;891009100.0;FV 119937;Peru;Punto de Venta;Efectivo;Guayos Nike Cr-63;Bernardo Cifuentes;2014-08-01;109038;15;0.0;7269
Walmart;890342123.0;FV 117605;Colombia;Punto de Venta;Efectivo;Guayos Nike Cr-92;Bernardo Cifuentes;2013-11-02;13554;1;0.0;13554
Walmart;890342123.0;FV 124756;Guatemala;Punto de Venta;Tarjeta de Credito;Guayos Nike Cr-69;Viviana Cano;2016-02-03;129450;9;12.7;14383
Hipermaxi;899453679.0;FV 66003;Guatemala;Redes Sociales;Transferencia Electronica;Balon de Microfutbol Golty;Lidia Bueno;2023-02-02;55000;6;0.0;9167
Automercados Plaza's;891009100.0;FV 72457;Honduras;Redes Sociales;Transferencia Electronica;Camiseta Deportiva;Hernando Portilla;2023-11-30;54000;3;0.0;18000
Supermercados Peruanos;896789012.0;FV 138098;Nicaragua;Telefono;Efectivo;Guayos Nike Cr-62;Viviana Cano;2018-10-10;28896;4;0.0;7224
Walmart;890342123.0;FV 109938;Ecuador;Punto de Venta;Efectivo;Guayos Nike Cr-99;Viviana Cano;2011-01-15;44660;7;11.6;6380
Super Selectos;901457120.0;FV 118918;Colombia;Telefono;Transferencia Electronica;Guayos Nike Cr-110;Hernando Portilla;2014-04-04;3950;1;0.0;3950
Tiendas Olímpica;901765437.0;FV 44506;Ecuador;Redes Sociales;Tarjeta de Credito;Alivio de mordedura de insectos;Patricia Angarita;2024-09-25;75000;6;0.0;12500
Walmart;890342123.0;FV 54583;Colombia;Redes Sociales;Cheque;Guantes de Arquero Nike;Guillermo Benavides;2021-10-15;11300;6;0.0;1883
Soriana;901345679.0;FV 67597;Mexico;Redes Sociales;Transferencia Electronica;Balon de Microfutbol Golty;Viviana Cano;2023-04-08;55000;6;0.0;9167
Soriana;901345679.0;FV 65488;Nicaragua;Redes Sociales;Cheque;Guantes de Arquero Nike;Hernando Portilla;2023-01-12;19450;8;0.0;2431
La Anónima;897564399.0;FV 108483;Ecuador;Punto de Venta;Transferencia Electronica;Guayos Nike Cr-105;Viviana Cano;2010-04-27;97835;9;0.0;10871
